Fantasquadra;Ruolo;Calciatore;Squadra;Prezzo;Prog
Er Gatto;Difensore;JONATHAN Cicero Moreira;Inter;30;5
Er Gatto;Difensore;MAICON Douglas;Roma;44;6
Er Gatto;Difensore;PASQUAL Manuel;Fiorentina;36;7
Er Gatto;Difensore;PISANO E.;Palermo;1;8
Er Gatto;Centrocampista;BRIENZA Franco;Cesena;63;1
Er Gatto;Centrocampista;CONTI Daniele;Cagliari;11;2
Er Gatto;Centrocampista;FERNANDES B. Miguel;Udinese;33;3
Er Gatto;Centrocampista;KUCKA Juraj;Genoa;11;4
Er Gatto;Centrocampista;MARCHISIO Claudio;Juventus;126;5
Er Gatto;Centrocampista;MENEZ Jeremy;Milan;310;6
Er Gatto;Centrocampista;PIZARRO David Cortes;Fiorentina;36;7
Er Gatto;Centrocampista;VALDIFIORI Mirko;Empoli;1;8
Er Gatto;Attaccante;AMAURI Carvalho;Torino;43;1
Er Gatto;Attaccante;ICARDI Mauro Emanuel;Inter;426;2
Er Gatto;Attaccante;INSIGNE Lorenzo;Napoli;30;3
Er Gatto;Attaccante;KEITA B.;Lazio;240;4
Er Gatto;Attaccante;MATRI Alessandro;Genoa;42;5
Er Gatto;Attaccante;TAVANO Francesco;Empoli;101;6
Fantocci;Portiere;BERISHA Etrit;Lazio;0;1
Fantocci;Portiere;MARCHETTI Federico;Lazio;105;2
Fantocci;Portiere;RAFAEL D.A. Bittencourt Pinheiro;Verona;1;3
Fantocci;Difensore;ALEX Rodrigo Dias da Costa;Milan;40;1
Fantocci;Difensore;AVELAR Danilo Fernando;Cagliari;4;2
Fantocci;Difensore;DAINELLI Dario;Chievo;1;3
Fantocci;Difensore;HEURTAUX Thomas;Udinese;13;4
Fantocci;Difensore;MANOLAS Kostas;Roma;30;5
Fantocci;Difensore;MOLINARO Cristian;Torino;12;6
Fantocci;Difensore;RENZETTI Francesco;Cesena;1;7
Fantocci;Difensore;VIDIC Nemanja;Inter;60;8
Fantocci;Centrocampista;CANDREVA Antonio;Lazio;331;1
Fantocci;Centrocampista;GUILHERME dos Santos;Udinese;1;2
Fantocci;Centrocampista;HONDA Keisuke;Milan;81;3
Fantocci;Centrocampista;LEDESMA Cristian;Lazio;1;4
Fantocci;Centrocampista;LESTIENNE Maxime;Genoa;210;5
Fantocci;Centrocampista;OBBADI Mounir;Verona;1;6
Fantocci;Centrocampista;PALOMBO Angelo;Sampdoria;1;7
Fantocci;Centrocampista;BORJA VALERO Iglesias;Fiorentina;204;8
Fantocci;Attaccante;BERGESSIO Gonzalo;Sampdoria;111;1
Fantocci;Attaccante;BERNARDESCHI Federico;Fiorentina;6;2
Fantocci;Attaccante;LONGO Samuele;Cagliari;6;3
Fantocci;Attaccante;MACCARONE Massimo;Empoli;7;4
Fantocci;Attaccante;TORRES Fernando;Milan;525;5
Fantocci;Attaccante;ZAZA Simone;Sassuolo;216;6
Inceppati;Portiere;BERNI Tommaso;Inter;0;1
Inceppati;Portiere;CARRIZO Juan Pablo;Inter;1;2
Inceppati;Portiere;HANDANOVIC Samir;Inter;350;3
Inceppati;Difensore;BASANTA Jose Maria;Fiorentina;1;1
Inceppati;Difensore;DOMIZZI Maurizio;Udinese;1;2
Inceppati;Difensore;GAMBERINI Alessandro;Chievo;1;3
Inceppati;Difensore;LAZAAR Achraf;Palermo;13;4
Inceppati;Difensore;LUCCHINI Stefano;Cesena;1;5
Inceppati;Difensore;MARCHESE Giovanni;Genoa;7;6
Inceppati;Difensore;RODRIGUEZ GON. Javier;Fiorentina;53;7
Inceppati;Difensore;SILVESTRE Matias;Sampdoria;1;8
Inceppati;Centrocampista;HERNANES Anderson;Inter;250;1
Inceppati;Centrocampista;ILICIC Josip;Fiorentina;100;2
Inceppati;Centrocampista;IZCO Mariano Julio;Chievo;1;3
Inceppati;Centrocampista;LULIC Senad;Lazio;51;4
Inceppati;Centrocampista;PIRLO Andrea;Juventus;90;5
Inceppati;Centrocampista;STURARO Stefano;Genoa;1;6
Inceppati;Centrocampista;VARGAS Juan;Fiorentina;1;7
Inceppati;Centrocampista;WIDMER Silvan;Udinese;1;8
Inceppati;Attaccante;BERARDI Domenico;Sassuolo;325;1
Inceppati;Attaccante;BOAKYE Richmond;Atalanta;5;2
Inceppati;Attaccante;GIOVINCO Sebastian;Juventus;5;3
Inceppati;Attaccante;GOMEZ M.;Fiorentina;460;4
Inceppati;Attaccante;LARRONDO Marcelo Alejandro;Torino;5;5
Inceppati;Attaccante;TOTTI Francesco;Roma;275;6
Milite Audace;Portiere;AVRAMOV Vlada;Atalanta;0;1
Milite Audace;Portiere;BASSI Davide;Empoli;15;2
Milite Audace;Portiere;SPORTIELLO Marco;Atalanta;75;3
Milite Audace;Difensore;ABATE Ignazio;Milan;7;1
Milite Audace;Difensore;ASTORI Davide;Roma;41;2
Milite Audace;Difensore;DARMIAN Matteo;Torino;51;3
Milite Audace;Difensore;NAGATOMO Yuto;Inter;27;4
Milite Audace;Difensore;RONCAGLIA Facundo Sebastian;Genoa;8;5
Milite Audace;Difensore;TOMOVIC Nenad;Fiorentina;3;6
Milite Audace;Difensore;ZAPPACOSTA Davide;Atalanta;14;7
Milite Audace;Difensore;ZUNIGA Juan Camilo;Napoli;35;8
Milite Audace;Centrocampista;COMAN Kingsley;Juventus;46;1
Milite Audace;Centrocampista;DE ROSSI Daniele;Roma;105;2
Milite Audace;Centrocampista;EL KADDOURI Omar;Torino;136;3
Milite Audace;Centrocampista;FLORENZI Alessandro;Roma;42;4
Milite Audace;Centrocampista;GUARIN Fredy;Inter;40;5
Milite Audace;Centrocampista;KONE Panagiotis;Udinese;60;6
Milite Audace;Centrocampista;VAZQUEZ Franco Damian;Palermo;133;7
Milite Audace;Centrocampista;VERDI Simone;Empoli;41;8
Milite Audace;Attaccante;BABACAR Khouma Elhadji;Fiorentina;91;1
Milite Audace;Attaccante;BARRETO P.;Torino;5;2
Milite Audace;Attaccante;DESTRO Mattia;Roma;351;3
Milite Audace;Attaccante;EL SHAARAWY Stephan;Milan;491;4
Milite Audace;Attaccante;IBARBO Victor;Cagliari;81;5
Milite Audace;Attaccante;RODRIGUEZ A.;Cesena;39;6
Pizzichettone;Portiere;DE SANCTIS Morgan;Roma;345;1
Pizzichettone;Portiere;LEALI Nicola;Cesena;12;2
Pizzichettone;Portiere;SKORUPSKI Lukasz;Roma;0;3
Pizzichettone;Difensore;BONUCCI Leonardo;Juventus;23;1
Pizzichettone;Difensore;DE VRIJ Stefan;Lazio;20;2
Pizzichettone;Difensore;EDENILSON Andrade dos Santos;Genoa;11;3
Pizzichettone;Difensore;GHOULAM Faouzi;Napoli;3;4
Pizzichettone;Difensore;MARQUEZ Rafael;Verona;35;5
Pizzichettone;Difensore;RAMI Adil;Milan;20;6
Pizzichettone;Difensore;TOROSIDIS Vasilis;Roma;2;7
Pizzichettone;Difensore;ZAPATA C.;Milan;1;8
Pizzichettone;Centrocampista;ALLAN Marques Loureiro;Udinese;1;1
Pizzichettone;Centrocampista;AQUILANI Alberto;Fiorentina;5;2
Pizzichettone;Centrocampista;EKDAL Albin;Cagliari;1;3
Pizzichettone;Centrocampista;NOCERINO Antonio;Torino;1;4
Pizzichettone;Centrocampista;PJANIC Miralem;Roma;215;5
Pizzichettone;Centrocampista;POGBA Paul;Juventus;253;6
Pizzichettone;Centrocampista;SORIANO Roberto;Sampdoria;22;7
Pizzichettone;Centrocampista;TAIDER Saphir;Sassuolo;2;8
Pizzichettone;Attaccante;GERVINHO Yao Kouassi;Roma;401;1
Pizzichettone;Attaccante;LLORENTE Fernando;Juventus;287;2
Pizzichettone;Attaccante;MARILUNGO Guido;Cesena;5;3
Pizzichettone;Attaccante;MORATA Alvaro;Juventus;90;4
Pizzichettone;Attaccante;QUAGLIARELLA Fabio;Torino;232;5
Pizzichettone;Attaccante;SANSONE N. Domenico;Sassuolo;13;6
Salerno By Night;Portiere;BARDI Francesco;Chievo;1;1
